time,host
0,1630000
0.208333333,1710000
0.333333333,1750000
0.5,1770000
0.666666667,1960000
0.833333333,1480000
1.020833333,2150000
1.166666667,1900000
1.333333333,2000000
1.541666667,2670000
1.708333333,2900000
1.875,2450000
2.125,2500000
2.625,3660000
